Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold,Revenue
Sodapop,1185732,14/1/2022,1,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$6,000.00 "
Sodapop,1185732,14/1/2022,1,Northeast,New York,Diet Coke,$0.50 ,"10,000","$5,000.00 "
Sodapop,1185732,14/1/2022,1,Northeast,New York,Sprite,$0.40 ,"10,000","$4,000.00 "
Sodapop,1185732,14/1/2022,1,Northeast,New York,Fanta,$0.45 ,"8,500","$3,825.00 "
Sodapop,1185732,14/1/2022,1,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400.00 "
Sodapop,1185732,14/1/2022,1,Northeast,New York,Dasani Water,$0.50 ,"10,000","$5,000.00 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Coca-Cola,$0.50 ,"12,500","$6,250.00 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Diet Coke,$0.50 ,"9,000","$4,500.00 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Sprite,$0.40 ,"9,500","$3,800.00 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Fanta,$0.45 ,"8,250","$3,712.50 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400.00 "
Sodapop,1185732,12/2/2022,1,Northeast,New York,Dasani Water,$0.50 ,"10,000","$5,000.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Coca-Cola,$0.50 ,"12,200","$6,100.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Diet Coke,$0.50 ,"9,250","$4,625.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Sprite,$0.40 ,"9,500","$3,800.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Fanta,$0.45 ,"8,000","$3,600.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Powerade,$0.60 ,"8,500","$5,100.00 "
Sodapop,1185732,10/3/2022,1,Northeast,New York,Dasani Water,$0.50 ,"9,500","$4,750.00 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Coca-Cola,$0.50 ,"12,000","$6,000.00 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Diet Coke,$0.50 ,"9,000","$4,500.00 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Sprite,$0.40 ,"9,000","$3,600.00 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Fanta,$0.45 ,"8,250","$3,712.50 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Powerade,$0.60 ,"8,250","$4,950.00 "
Sodapop,1185732,11/4/2022,1,Northeast,New York,Dasani Water,$0.50 ,"9,500","$4,750.00 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Coca-Cola,$0.60 ,"12,200","$7,320.00 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Diet Coke,$0.55 ,"9,250","$5,087.50 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Sprite,$0.50 ,"9,000","$4,500.00 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Fanta,$0.50 ,"8,500","$4,250.00 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Powerade,$0.60 ,"8,750","$5,250.00 "
Sodapop,1185732,10/5/2022,1,Northeast,New York,Dasani Water,$0.65 ,"10,000","$6,500.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Coca-Cola,$0.60 ,"12,500","$7,500.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,000","$5,500.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Sprite,$0.50 ,"9,250","$4,625.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Powerade,$0.60 ,"9,000","$5,400.00 "
Sodapop,1185732,12/6/2022,1,Northeast,New York,Dasani Water,$0.65 ,"10,500","$6,825.00 "
Sodapop,1185732,10/7/2022,1,Northeast,New York,Coca-Cola,$0.60 ,"12,750","$7,650.00 "
Sodapop,1185732,10/7/2022,1,Northeast,New York,Diet Coke,$0.55 ,"10,250","$5,637.50 "
Sodapop,1185732,10/7/2022,1,Northeast,New York,Sprite,$0.50 ,"9,500","$4,750.00 "
Sodapop,1185732,10/7/2022,1,Northeast,New York,Fanta,$0.50 ,"9,000","$4,500.00 "
